time,left_x,left_y,right_x,right_y
13.7873375415802,272,180,271,126
13.851311683654785,274,180,271,126
13.902195692062378,274,181,271,126
13.949151277542114,275,181,270,126
13.996351957321167,275,181,270,126
14.044308185577393,275,181,270,126
14.091896057128906,275,181,270,126
14.12220549583435,275,181,270,126
14.155151128768921,275,181,269,126
14.185534715652466,275,181,269,126
14.216451168060303,275,181,269,126
14.246699810028076,275,181,269,126
14.278059482574463,275,181,269,126
14.325514554977417,275,181,269,126
14.358646392822266,275,181,269,126
14.390101432800293,275,181,269,126
14.42114520072937,275,181,269,126
14.451549053192139,275,181,269,126
14.480805397033691,275,181,269,126
14.513323307037354,275,181,269,126
14.544080257415771,275,181,269,126
14.57597541809082,275,181,269,126
14.607649803161621,275,181,269,126
14.639930486679077,275,181,269,126
14.675579071044922,275,181,269,126
14.711713075637817,275,181,269,126
14.745277643203735,276,181,269,126
14.796862840652466,276,181,269,126
14.849244832992554,276,181,269,126
14.906830787658691,275,181,269,126
14.964354753494263,276,181,269,126
15.013657569885254,275,181,269,126
15.048664331436157,275,181,269,126
15.081658363342285,275,181,269,126
15.115155220031738,275,181,269,126
15.146814823150635,275,181,269,126
15.178429365158081,275,181,269,126
15.210950374603271,275,181,269,126
15.245024919509888,275,181,269,126
15.27753233909607,275,181,269,126
15.309855937957764,275,181,268,126
15.357001781463623,275,181,268,126
15.389625310897827,275,181,268,126
15.42385745048523,275,181,268,126
15.483386039733887,275,181,268,126
15.516427516937256,275,181,268,126
15.549440145492554,275,181,268,126
15.612593412399292,275,181,268,126
15.672735452651978,275,181,268,126
15.738677740097046,275,181,268,126
15.801807165145874,275,181,268,126
15.865481615066528,275,181,268,126
15.929099321365356,275,181,268,126
15.981501817703247,275,181,268,126
16.01448369026184,275,181,268,126
16.046220779418945,275,181,268,126
16.07785153388977,275,181,268,126
16.113987684249878,275,181,268,126
16.145819902420044,275,181,268,126
16.179250717163086,275,181,268,126
16.21240210533142,275,181,268,126
16.27606749534607,275,181,268,126
16.339698314666748,275,181,268,126
16.3879497051239,275,181,268,126
